"L3_AF_DMSO_B_10_FITC";"L3_AF_100_ETP_11_FITC";"L3_AF_100_ETP_12_FITC";"L3_AF_Med_C_13_FITC";"L3_AF_Med_C_14_FITC";"L3_AF_DMSo_C_15_FITC";"L3_AF_DMSO_C_16_FITC";"L3_AF_100_ETP_17_FITC";"L3_AF_100_ETP_18_FITC";"L3_AF_Med_D_19_FITC";"L3_AF_Med_A_1_FITC";"L3_AF_Med_D_20_FITC";"L3_AF_DMSo_D_21_FITC";"L3_AF_DMSO_D_22_FITC";"L3_AF_100_ETP_23_FITC";"L3_AF_100_ETP_24_FITC";"L3_AF_MedA_2_FITC";"L3_AF_DMSO_A_3_FITC";"L3_AF_DMSO_A_4_FITC";"L3_AF_100_ETP_5_FITC";"L3_AF_100_ETP_6_FITC";"L3_AF_Med_B_7_FITC";"L3_AF_Med_B_8_FITC";"L3_AF_DMSO_B_9_FITC";"L3_BF_Med_1_FITC";"L3_BF_Med_2_FITC";"L3_BF_DMSO_3_FITC";"L3_BF_DMSO_4_FITC";"L3_BF_100цM_ETP_5_FITC";"L3_BF_100цM_ETP_6_FITC";"L5_AF_DMSO_B_10_FITC";"L5_AF_100_ETp_11_FITC";"L5_AF_100_ETP_12_FITC";"L5_AF_MEd_C_13_FITC";"L5_AF_Med_C_14_FITC";"L5_AF_DMSO_C_15_FITC";"L5_AF_DMSO_C_16_FITC";"L5_AF_100_ETP_17_FITC";"L5_AF_100_ETP_18_FITC";"L5_AF_Med_D_19_FITC";"L5_AF_Med_A_1_FITC";"L5_AF_Med_D_20_FITC";"L5_AF_DMSO_D_21_FITC";"L5_AF_DMSO_D_22_FITC";"L5_AF_100_ETP_23_FITC";"L5_AF_100_ETP_24_FITC";"L5_AF_Med_A_2_FITC";"L5_AF_DMSO_A_3_FITC";"L5_AF_DMSO_A_4_FITC";"L5_AF_100_ETP_5_FITC";"L5_AF_100_ETP_6_FITC";"L5_AF_Med_B_7_FITC";"L5_AF_Med_B_8_FITC";"L5_AF_DMSO_B_9_FITC";"L5_BF_Med_1_FITC";"L5_BF_Med_2_FITC";"L5_BF_DMSO_3_FITC";"L5_BF_DMSO_4_FITC";"L5_BF_100_ETP_5_FITC";"L5_BF_100_ETP_6_FITC";"L6_AF_DMSO_B_10_FITC";"L6_AF_100_ETP_11_FITC";"L6_AF_100_ETP_12_FITC";"L6_AF_Med_C_13_FITC";"L6_AF_Med_C_14_FITC";"L6_AF_DMSO_C_15_FITC";"L6_AF_DMSO_C_16_FITC";"L6_AF_100_ETP_17_FITC";"L6_AF_100_ETP_18_FITC";"L6_AF_Med_D_19_FITC";"L6_AF_MEd_A_1_FITC";"L6_AF_Med_D_20_FITC";"L6_AF_DMSO_D_21_FITC";"L6_AF_DMSO_D_22_FITC";"L6_AF_100_ETP_23_FITC";"L6_AF_100_ETP_24_FITC";"L6_AF_Med_A_2_FITC";"L6_AF_DMSO_A_3_FITC";"L6_AF_DMSO_A_4_FITC";"L6_AF_100_ETP_5_FITC";"L6_AF_100_ETP_6_FITC";"L6_AF_MEd_B_7_FITC";"L6_AF_Med_B_8_FITC";"L6_AF_DMSO_B_9_FITC";"L6_BF_Med_1_FITC";"L6_BF_Med_2_FITC";"L6_BF_DMSO_3_FITC";"L6_BF_DMSO_4_FITC";"L6_BF_100_ETP_5_FITC";"L6_BF_100_ETP_6_FITC";"L7_AF_DMSO_B_10_FITC";"L7_AF_100_ETP_11_FITC";"L7_AF_100_ETP_12_FITC";"L7_AF_Med_C_13_FITC";"L7_AF_Med_C_14_FITC";"L7_AF_DMSo_C_15_FITC";"L7_AF_DMSO_C_16_FITC";"L7_AF_100_ETP_17_FITC";"L7_AF_100_ETP_18_FITC";"L7_AF_Med_D_19_FITC";"L7_AF_Med_A_1_FITC";"L7_AF_Med_D_20_FITC";"L7_AF_DMSO_D_21_FITC";"L7_AF_DMSO_D_22_FITC";"L7_AF_100_ETp_23_FITC";"L7_AF_100_ETP_24_FITC";"L7_AF_Med_A_2_FITC";"L7_AF_DMSO_A_3_FITC";"L7_AF_DMSO_A_4_FITC";"L7_AF_100_ETP_5_FITC";"L7_AF_100_ETP_6_FITC";"L7_AF_MEd_B_7_FITC";"L7_AF_MEd_B_8_FITC";"L7_AF_DMSO_B_9_FITC";"L7_BF_MEd_1_FITC";"L7_BF_Med_2_FITC";"L7_BF_DMSO_3_FITC";"L7_BF_DMSO_4_FITC";"L7_BF_100_ETP_5_FITC";"L7_BF_100_ETP_6_FITC"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"14";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"7";"0";"0";"0";"0";"0";"0";"0";"12";"3";"0";"0";"0";"0";"0";"0";"0";"9";"2";"0";"0";"0";"0";"0";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8"
"0";"0";"19";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"2";"10";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"11";"0";"0";"0";"3";"14";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"13"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"4";"0";"0";"0";"0";"0";"5";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"8";"13"
"0";"1";"12";"0";"0";"0";"0";"24";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"23";"0";"0";"0";"0";"0";"16";"3";"0";"0";"0";"0";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"13"
"0";"0";"4";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"12";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"10";"2";"0";"0";"0";"0";"16";"0";"0";"0";"0";"0";"0";"0";"3";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"17";"5"
"0";"13";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"6";"0";"0";"7";"0";"0";"0";"0";"13";"0";"0";"0";"0";"0";"0";"4";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"48";"0";"0";"0";"12";"6";"0";"0";"0";"0";"0";"32";"3";"0";"0";"0";"8";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"8"
"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"3";"2";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"1";"11";"0";"0";"0";"2";"10";"0";"0";"0";"0";"0";"0";"0";"4";"3";"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"15"
"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"7";"6";"0";"0";"0";"2";"8";"0";"0";"0";"0";"0";"0";"0";"20";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"13";"9";"0";"0";"0";"0";"0";"7";"5";"0";"0";"0";"11";"5";"0";"0";"9";"0";"0";"0";"0";"6";"4";"0";"0";"0";"0";"0";"0";"0";"11";"20";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"21"
"0";"0";"8";"0";"0";"0";"0";"19";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"1";"4";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"1";"25";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6"
"0";"12";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"12";"0";"0";"0";"0";"0";"0";"0";"0";"5";"3";"0";"0";"0";"0";"0";"0";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"5";"11";"0";"0";"18";"0";"58";"0";"0";"0";"0";"0";"0";"8";"9";"0";"0";"0";"4";"18";"0";"0";"0";"0";"0";"0";"0";"3";"11";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"0";"11";"14"
"0";"5";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"9";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"28";"0";"0";"4";"1";"0";"0";"0";"0";"0";"14";"0";"0";"0";"0";"8";"8";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"10";"10";"0";"0";"0";"0";"0";"48";"0";"0";"0";"0";"0";"6";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"9";"9"
"0";"21";"0";"0";"0";"0";"0";"5";"7";"0";"0";"0";"0";"0";"12";"6";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"21";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"7";"8";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"5";"3";"0";"2";"3";"0";"0";"0";"0";"0";"13";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"3";"6"
"0";"0";"0";"0";"0";"0";"0";"5";"5";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"24";"0";"0";"0";"0";"0";"25";"28";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"6";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"3";"8"
"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"2";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"6";"9";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"13";"9";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"0";"5";"5"
"0";"0";"11";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"12";"0";"0";"13";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"3";"5";"0";"0";"0";"0";"0";"0";"0";"11";"2";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"13";"20"
"0";"0";"0";"0";"0";"0";"0";"0";"14";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"0";"0";"0";"25";"1";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"11";"0";"0";"0";"2";"0";"0";"0";"0";"8";"14";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0"
"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"26";"0";"0";"0";"0";"6";"24";"0";"0";"0";"0";"0";"0";"0";"9";"2";"0";"7";"5";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"15"
"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"7";"6";"0";"0";"0";"0";"0";"8";"9";"0";"0";"0";"6";"8";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"1";"10";"0";"0";"0";"0";"0";"0";"0";"2";"11"
"0";"0";"20";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"13";"37";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"0";"0";"0";"0";"14";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"7";"7";"0";"0";"0";"0";"0";"0";"0";"10";"4";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"0";"0";"0";"0";"0";"0";"0";"0";"4"
"0";"0";"0";"0";"0";"0";"0";"1";"7";"0";"0";"0";"0";"0";"18";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"13";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"17";"0";"0";"0";"0";"2";"15";"0";"0";"0";"0";"0";"0";"0";"12";"3";"0";"23";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"13"
"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"45";"0";"0";"11";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"46";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"12";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"0";"19";"0";"0";"0";"0";"0";"12";"0";"0";"0";"0";"0";"0";"0";"8";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"17";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"16";"0";"0";"0";"0";"0";"0";"0";"15";"0";"0";"0";"15";"0";"0";"0";"0";"0";"0";"0";"0";"16";"0";"0";"6";"16";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0";"12";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"0";"0";"7"
"0";"0";"0";"0";"0";"0";"0";"15";"5";"0";"0";"0";"0";"0";"15";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"29";"0";"0";"0";"0";"0";"12";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"2";"9";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"39";"16";"0";"0";"0";"0";"0";"0";"0";"4";"6"
